epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,16452.9,0.61042,0.47585,1.42823,0.55222,0.37664,0.40553,0.33651,1.35116,2.15541,1.98328,0.0004159,0.0004159,0.0004159
61,16726.8,0.60233,0.46981,1.43285,0.56233,0.37241,0.40652,0.33833,1.34604,2.16549,1.97516,0.000406,0.000406,0.000406
62,17001.1,0.60297,0.4708,1.4273,0.55751,0.37288,0.40718,0.3382,1.34469,2.13905,1.97579,0.0003961,0.0003961,0.0003961
63,17274.8,0.60055,0.46926,1.42055,0.55747,0.37349,0.40557,0.33567,1.3437,2.12828,1.97786,0.0003862,0.0003862,0.0003862
64,17548.3,0.60602,0.4722,1.42093,0.56388,0.37164,0.4043,0.33556,1.34218,2.14846,1.97821,0.0003763,0.0003763,0.0003763
65,17822.1,0.60441,0.47008,1.42565,0.55254,0.37734,0.4045,0.33488,1.34312,2.15213,1.97642,0.0003664,0.0003664,0.0003664
66,18097.5,0.59833,0.46689,1.422,0.5517,0.3765,0.4046,0.33429,1.34569,2.15382,1.98051,0.0003565,0.0003565,0.0003565
67,18372.1,0.59611,0.46376,1.42215,0.54959,0.37492,0.40446,0.33586,1.34978,2.16509,1.98086,0.0003466,0.0003466,0.0003466
68,18646,0.59406,0.4626,1.41543,0.55057,0.37726,0.40365,0.33691,1.35351,2.17394,1.97958,0.0003367,0.0003367,0.0003367
69,18919.6,0.58683,0.45936,1.41043,0.55657,0.37633,0.4029,0.3365,1.35239,2.16667,1.97857,0.0003268,0.0003268,0.0003268
70,19193.6,0.58975,0.45994,1.40735,0.55406,0.3767,0.40229,0.33653,1.35246,2.1449,1.98213,0.0003169,0.0003169,0.0003169
71,19467.3,0.58378,0.4553,1.41858,0.55692,0.37661,0.4028,0.33665,1.35515,2.11745,1.98613,0.000307,0.000307,0.000307
72,19741,0.58617,0.45807,1.41889,0.55247,0.37818,0.40255,0.33721,1.35581,2.10869,1.98701,0.0002971,0.0002971,0.0002971
73,20015.5,0.58548,0.457,1.41435,0.5574,0.37721,0.40296,0.33727,1.35617,2.10225,1.98656,0.0002872,0.0002872,0.0002872
74,20291.8,0.58041,0.45289,1.41883,0.55435,0.37809,0.40334,0.3372,1.35459,2.09732,1.98578,0.0002773,0.0002773,0.0002773
75,20565.5,0.57931,0.45397,1.4117,0.55673,0.37678,0.40363,0.33748,1.35596,2.10503,1.98624,0.0002674,0.0002674,0.0002674
