epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,15082,1.43091,1.63401,2.07245,0.44489,0.29461,0.28786,0.12469,1.80025,2.10542,2.60369,0.000379743,0.000379743,0.000379743
80,15272.8,1.40572,1.58994,2.05179,0.45525,0.2662,0.28727,0.12974,1.80174,2.08856,2.57455,0.000363239,0.000363239,0.000363239
81,15463.4,1.41115,1.60112,2.03655,0.3996,0.28188,0.27892,0.1186,1.81209,2.14066,2.61236,0.000346736,0.000346736,0.000346736
82,15654,1.40537,1.57265,2.02852,0.39679,0.29879,0.28834,0.12643,1.81998,2.08443,2.60839,0.000330233,0.000330233,0.000330233
83,15844.7,1.41394,1.59723,2.04075,0.48778,0.28069,0.29291,0.12611,1.81621,2.08504,2.62539,0.000313729,0.000313729,0.000313729
84,16035.3,1.4013,1.57298,2.02294,0.43951,0.26902,0.28049,0.11941,1.84226,2.11607,2.60886,0.000297226,0.000297226,0.000297226
85,16225.8,1.39645,1.57188,2.01482,0.45246,0.26783,0.28196,0.11936,1.86193,2.12454,2.61892,0.000280723,0.000280723,0.000280723
86,16416.4,1.40319,1.55732,2.02033,0.42809,0.29092,0.29445,0.13028,1.83493,2.07617,2.60019,0.00026422,0.00026422,0.00026422
87,16607,1.40213,1.55893,2.00857,0.41994,0.29823,0.29663,0.12994,1.83325,2.08728,2.61925,0.000247716,0.000247716,0.000247716
88,16797.6,1.38477,1.53946,1.99575,0.4181,0.27958,0.28114,0.12039,1.85643,2.12197,2.6346,0.000231213,0.000231213,0.000231213
89,16988.2,1.38595,1.54864,1.99828,0.47442,0.26879,0.2904,0.12451,1.86286,2.1066,2.66916,0.00021471,0.00021471,0.00021471
90,17178.7,1.37399,1.50767,1.9814,0.45216,0.27683,0.28294,0.1198,1.8786,2.12433,2.68019,0.000198206,0.000198206,0.000198206
91,17369.5,1.34106,1.52747,2.07947,0.53625,0.25752,0.2796,0.11595,1.87259,2.13304,2.66661,0.000181703,0.000181703,0.000181703
92,17559.8,1.3098,1.46577,2.04863,0.47362,0.27699,0.2906,0.12714,1.85289,2.08841,2.63608,0.0001652,0.0001652,0.0001652
93,17750.1,1.30697,1.43272,2.04656,0.48307,0.27747,0.28775,0.12257,1.86001,2.09576,2.64734,0.000148696,0.000148696,0.000148696
94,17940.3,1.29662,1.43042,2.02872,0.45935,0.28584,0.29537,0.12914,1.84556,2.07432,2.6327,0.000132193,0.000132193,0.000132193
95,18130.6,1.29002,1.41796,1.99938,0.47642,0.27458,0.2915,0.12896,1.85579,2.0784,2.62382,0.00011569,0.00011569,0.00011569
96,18320.8,1.29503,1.41208,2.00826,0.45886,0.28125,0.29354,0.13029,1.85025,2.08767,2.62413,9.91865e-05,9.91865e-05,9.91865e-05
97,18511.1,1.29751,1.41113,2.01462,0.48102,0.28092,0.29219,0.12896,1.86884,2.08031,2.63167,8.26832e-05,8.26832e-05,8.26832e-05
98,18701.4,1.28746,1.38989,1.98998,0.43845,0.28655,0.29183,0.12728,1.8749,2.08722,2.63227,6.61799e-05,6.61799e-05,6.61799e-05
99,18891.7,1.28355,1.38413,1.96996,0.48434,0.28503,0.29804,0.13163,1.86744,2.07821,2.64368,4.96766e-05,4.96766e-05,4.96766e-05
100,19082.1,1.27326,1.37782,1.98833,0.50289,0.27795,0.29642,0.13078,1.8665,2.09136,2.63936,3.31733e-05,3.31733e-05,3.31733e-05
